"house","name","species","gender","extra","mainspecies","House","mainspecies_n","long","lat","jitterlat","jitterlong","mscolor"
35,NA,"chicken","Boys",NA,"chicken","35",4,5.67395,51.9888332,51.9887872848777,5.67398131474599,"#FB8072"
45,"Bruno","cat","unknown","Black","cat","45",3,5.6743728,51.988956,51.9889589586517,5.67449560802269,"#BEBADA"
45,NA,"chicken","Boys",NA,"chicken","45",4,5.6743728,51.988956,51.9889868136137,5.67429055021562,"#FB8072"
45,NA,"chicken","Girls",NA,"chicken","45",4,5.6743728,51.988956,51.9889961236033,5.67449420833639,"#FB8072"
45,NA,"chicken","Girls",NA,"chicken","45",4,5.6743728,51.988956,51.9890003688777,5.67438534131047,"#FB8072"
45,NA,"chicken","Girls",NA,"chicken","45",4,5.6743728,51.988956,51.9889611415347,5.67431501541611,"#FB8072"
45,NA,"chicken","Bibili",NA,"chicken","45",4,5.6743728,51.988956,51.9889106128972,5.67429366830934,"#FB8072"
45,NA,"chicken","Bibili",NA,"chicken","45",4,5.6743728,51.988956,51.9889889376848,5.6744522915831,"#FB8072"
39,"Poepoes","cat","unknown","Scared  but talkative","cat","39",3,5.6746632,51.9893325,51.9893714095023,5.67454348604211,"#BEBADA"
39,"Houdini","cat","Boys","Picky but fair house dictator","cat","39",3,5.6746632,51.9893325,51.9892876362464,5.67448716979641,"#BEBADA"
39,NA,"shrimp","unknown","many","shrimp","39",9,5.6746632,51.9893325,51.9893870979521,5.67483822947509,"#D9D9D9"
39,NA,"axelotl","unknown",NA,"other","39",1,5.6746632,51.9893325,51.9893028661312,5.67459127563244,"#8DD3C7"
39,NA,"goldfish","unknown",NA,"goldfish","39",5,5.6746632,51.9893325,51.9892910165319,5.67465758612857,"#80B1D3"
39,NA,"goldfish","unknown",NA,"goldfish","39",5,5.6746632,51.9893325,51.989334737906,5.67452289334837,"#80B1D3"
41,"Monster","cat","Boys","Cuddle-monster","cat","41",3,5.6745619,51.9895895,51.9895895799542,5.67460137194652,"#BEBADA"
41,NA,"chicken","Boys",NA,"chicken","41",4,5.6745619,51.9895895,51.9895860234443,5.6746987056699,"#FB8072"
41,NA,"chicken","Girls",NA,"chicken","41",4,5.6745619,51.9895895,51.9896236648602,5.6747202139071,"#FB8072"
41,NA,"chicken","Girls",NA,"chicken","41",4,5.6745619,51.9895895,51.9896325064405,5.67461275152118,"#FB8072"
41,NA,"chicken","Girls",NA,"chicken","41",4,5.6745619,51.9895895,51.9896035711293,5.67440050557207,"#FB8072"
41,NA,"chicken","Girls",NA,"chicken","41",4,5.6745619,51.9895895,51.989550716526,5.67473450967941,"#FB8072"
41,NA,"chicken","Girls",NA,"chicken","41",4,5.6745619,51.9895895,51.9895987914727,5.67460658199001,"#FB8072"
41,"Judas","algea eater","Girls",NA,"other","41",1,5.6745619,51.9895895,51.9895879469928,5.67463811127819,"#8DD3C7"
41,"Simba","guinea pig","unknown",NA,"other","41",1,5.6745619,51.9895895,51.9896349420458,5.67454456208626,"#8DD3C7"
41,NA,"cobalt gourami","unknown",NA,"other","41",1,5.6745619,51.9895895,51.9896474687388,5.67443115245212,"#8DD3C7"
41,NA,"cobalt gourami","unknown",NA,"other","41",1,5.6745619,51.9895895,51.989619502316,5.67458676382217,"#8DD3C7"
41,NA,"shrimp","unknown",NA,"shrimp","41",9,5.6745619,51.9895895,51.9896366234704,5.67467280493003,"#D9D9D9"
41,NA,"shrimp","unknown",NA,"shrimp","41",9,5.6745619,51.9895895,51.989625010747,5.67470697556896,"#D9D9D9"
41,NA,"tetra","unknown","fish","other","41",1,5.6745619,51.9895895,51.9895316207646,5.67455785718523,"#8DD3C7"
41,NA,"tetra","unknown","fish","other","41",1,5.6745619,51.9895895,51.9896007065949,5.67440454223612,"#8DD3C7"
41,NA,"snail","unknown",NA,"snail","41",10,5.6745619,51.9895895,51.9896246748576,5.67459531911532,"#BC80BD"
41,NA,"snail","unknown",NA,"snail","41",10,5.6745619,51.9895895,51.9895607156439,5.67456054287298,"#BC80BD"
43,NA,"chicken","Girls",NA,"chicken","43",4,5.6741838,51.9896611,51.9896669919777,5.67402527852269,"#FB8072"
43,NA,"chicken","Girls",NA,"chicken","43",4,5.6741838,51.9896611,51.989602625867,5.67432073642381,"#FB8072"
43,NA,"chicken","Girls",NA,"chicken","43",4,5.6741838,51.9896611,51.9896953250808,5.67420738049471,"#FB8072"
43,NA,"chicken","Girls",NA,"chicken","43",4,5.6741838,51.9896611,51.989669759126,5.67431295438068,"#FB8072"
43,NA,"chicken","Girls",NA,"chicken","43",4,5.6741838,51.9896611,51.9897058428714,5.67412186886212,"#FB8072"
43,NA,"chicken","Girls",NA,"chicken","43",4,5.6741838,51.9896611,51.989698903582,5.67407928940061,"#FB8072"
43,NA,"chicken","Boys",NA,"chicken","43",4,5.6741838,51.9896611,51.9897093029388,5.67436234745532,"#FB8072"
43,NA,"tropical fish","unknown",NA,"other","43",1,5.6741838,51.9896611,51.9896393913352,5.67401712849112,"#8DD3C7"
43,NA,"tropical fish","unknown",NA,"other","43",1,5.6741838,51.9896611,51.9896866508026,5.67432575696521,"#8DD3C7"
51,"Karel","cat","Boys","lazy","cat","51",3,5.6738987,51.989485,51.9895332575832,5.67401774683593,"#BEBADA"
51,NA,"chicken","Girls",NA,"chicken","51",4,5.6738987,51.989485,51.9895370169917,5.67406096722117,"#FB8072"
51,NA,"chicken","Girls",NA,"chicken","51",4,5.6738987,51.989485,51.9894986414554,5.67390762412824,"#FB8072"
51,NA,"chicken","Girls",NA,"chicken","51",4,5.6738987,51.989485,51.9894894199369,5.6739789482185,"#FB8072"
51,NA,"chicken","Girls",NA,"chicken","51",4,5.6738987,51.989485,51.9894780365389,5.67397271279014,"#FB8072"
51,NA,"chicken","Girls",NA,"chicken","51",4,5.6738987,51.989485,51.9895072100853,5.67372609373328,"#FB8072"
51,NA,"chicken","Boys",NA,"chicken","51",4,5.6738987,51.989485,51.9894802899085,5.67382299538816,"#FB8072"
47,"Gérard Dépardieu Garfield","cat","Boys","the pimp","cat","47",3,5.674,51.9892226,51.9891792454869,5.67389794404623,"#BEBADA"
47,"Bosvos","cat","unknown","Two Face","cat","47",3,5.674,51.9892226,51.9892055966859,5.67412733796677,"#BEBADA"
47,NA,"chicken","Girls",NA,"chicken","47",4,5.674,51.9892226,51.9891814239478,5.67389328946669,"#FB8072"
47,NA,"chicken","Girls",NA,"chicken","47",4,5.674,51.9892226,51.9892256777759,5.67396048307326,"#FB8072"
47,NA,"chicken","Girls",NA,"chicken","47",4,5.674,51.9892226,51.9892015387699,5.67401597149571,"#FB8072"
47,NA,"chicken","Girls",NA,"chicken","47",4,5.674,51.9892226,51.9892666110479,5.67392809593618,"#FB8072"
47,NA,"chicken","Girls",NA,"chicken","47",4,5.674,51.9892226,51.9892608458828,5.67395518361976,"#FB8072"
47,NA,"chicken","Girls",NA,"chicken","47",4,5.674,51.9892226,51.9892561619821,5.67398819406063,"#FB8072"
79,"Octopussy","cat","Girls",NA,"cat","79",3,5.6720947,51.9893868,51.9894129085714,5.67221519123498,"#BEBADA"
